segment,emotibit_id,missing_fraction
pre_meditation,EmotiBit_1,0.0
pre_meditation,EmotiBit_2,0.0
pre_meditation,EmotiBit_3,0.0
pre_meditation,EmotiBit_4,0.0
pre_meditation,EmotiBit_6,0.0
pre_meditation,EmotiBit_7,0.0
main_meditation,EmotiBit_1,0.0
main_meditation,EmotiBit_2,0.0
main_meditation,EmotiBit_3,0.0
main_meditation,EmotiBit_4,0.0
main_meditation,EmotiBit_6,0.0
main_meditation,EmotiBit_7,0.0
recovery,EmotiBit_1,0.0
recovery,EmotiBit_2,0.0
recovery,EmotiBit_3,0.0
recovery,EmotiBit_4,0.0
recovery,EmotiBit_6,0.0
recovery,EmotiBit_7,0.0
