segment,subject,vlf_like_0p01_0p05_power,lf_0p05_0p15_power,hf_0p15_0p40_power
pre_meditation,EmotiBit_1,6.587903295814881,6.236825804103602,13.543518148472499
pre_meditation,EmotiBit_2,0.21456635423222573,1.597598818139998,9.691091474435552
pre_meditation,EmotiBit_3,0.9608654819198093,17.618587919146723,12.679335738362852
pre_meditation,EmotiBit_4,3.2248681732335887,13.646507738032255,27.339846814919493
pre_meditation,EmotiBit_6,17.139677227178492,11.954534133630341,50.33153856492645
pre_meditation,EmotiBit_7,3.012579818317984,33.16636093398051,7.58184548015446
main_meditation,EmotiBit_1,13.208835770106417,23.923214816692575,48.24771363227352
main_meditation,EmotiBit_2,1.5336139802991298,1.9063970097169411,5.566249312125843
main_meditation,EmotiBit_3,3.203275491252508,32.693267786665224,13.644492857305162
main_meditation,EmotiBit_4,5.372738900703069,15.658087986318156,6.424155769877603
main_meditation,EmotiBit_6,5.1035372418446725,8.236888556736565,6.149971048936989
main_meditation,EmotiBit_7,2.2230176030073636,5.982428624910084,4.728366696406297
recovery,EmotiBit_1,3.1407707466659165,1.042980036350527,4.634604852555329
recovery,EmotiBit_2,0.16020688318989815,0.6191004080475524,2.7046686220807516
recovery,EmotiBit_3,1.2019402370108405,1.6089996208230097,9.110645626671733
recovery,EmotiBit_4,14.714645873272413,14.083451517675055,6.662768295183239
recovery,EmotiBit_6,3.974240906622276,29.349317085953338,77.26031967539122
recovery,EmotiBit_7,1.3053626649821837,0.6249336498479068,4.915773673693462
