segment,subject_a,subject_b,vlf_like_0p01_0p05_coh_mean,lf_0p05_0p15_coh_mean,hf_0p15_0p40_coh_mean
main_meditation,EmotiBit_2,EmotiBit_3,0.4011656193496863,0.36849287575426604,0.29768988640062144
main_meditation,EmotiBit_2,EmotiBit_7,0.20938584854714737,0.2959610612869415,0.25107691282826017
main_meditation,EmotiBit_1,EmotiBit_6,0.3271614978094313,0.2914225103737246,0.2619477808150738
main_meditation,EmotiBit_3,EmotiBit_7,0.18057928452802738,0.29088454851195766,0.2763123779313519
main_meditation,EmotiBit_2,EmotiBit_6,0.24662501566245193,0.2891590719601441,0.29901712205775915
main_meditation,EmotiBit_4,EmotiBit_7,0.18974523806854088,0.2814549618111148,0.2812011271144825
main_meditation,EmotiBit_1,EmotiBit_7,0.3039453011991204,0.26891068104351573,0.2582047582893891
main_meditation,EmotiBit_1,EmotiBit_2,0.3214394550210393,0.2561653610115408,0.2748244604802421
main_meditation,EmotiBit_4,EmotiBit_6,0.2956858575947821,0.25369357396445236,0.264407905315875
main_meditation,EmotiBit_1,EmotiBit_4,0.1303710728310576,0.24111285317178813,0.2594145016372783
main_meditation,EmotiBit_1,EmotiBit_3,0.1336300603061636,0.2376132036820774,0.21910936452157467
main_meditation,EmotiBit_3,EmotiBit_6,0.18981456289006035,0.21174650372539444,0.3113293732072715
main_meditation,EmotiBit_2,EmotiBit_4,0.21066621003148947,0.20986844385839476,0.2576224036699984
main_meditation,EmotiBit_6,EmotiBit_7,0.1415464961642433,0.20786127854349332,0.3014367158387764
main_meditation,EmotiBit_3,EmotiBit_4,0.1516308965081052,0.20744668163295327,0.2469470121372927
